merchant_name,day,cashback,normalized_cashback,category
#SEKTA,2022-11-26 00:00:00,141.19,-0.21929155537533107,Различные услуги - нигде более не классифицированные
#SEKTA,2022-11-27 00:00:00,229.88,0.12655205013373474,Различные услуги - нигде более не классифицированные
#SEKTA,2022-11-28 00:00:00,21.09,-0.6876173758921741,Различные услуги - нигде более не классифицированные
#SEKTA,2022-11-29 00:00:00,102.83,-0.3688750564163477,Различные услуги - нигде более не классифицированные
#SEKTA,2022-11-30 00:00:00,77.34,-0.4682724349756676,Различные услуги - нигде более не классифицированные
#SEKTA,2022-12-01 00:00:00,124.22,-0.28546548688383083,Различные услуги - нигде более не классифицированные
#SEKTA,2022-12-02 00:00:00,133.6,-0.24888849940299834,Различные услуги - нигде более не классифицированные
#SEKTA,2022-12-03 00:00:00,49.22,-0.5779254081058394,Различные услуги - нигде более не классифицированные
#SEKTA,2022-12-04 00:00:00,441.33,0.9510940546989841,Различные услуги - нигде более не классифицированные
#SEKTA,2022-12-05 00:00:00,196.88,-0.002130315203949005,Различные услуги - нигде более не классифицированные
#SEKTA,2022-12-06 00:00:00,42.42,-0.6044417742966348,Различные услуги - нигде более не классифицированные
#SEKTA,2022-12-07 00:00:00,44.53,-0.5962139018462557,Различные услуги - нигде более не классифицированные
#SEKTA,2022-12-09 00:00:00,10.31,-0.7296536152358174,Различные услуги - нигде более не классифицированные
#SEKTA,2022-12-10 00:00:00,10.31,-0.7296536152358174,Различные услуги - нигде более не классифицированные
#SEKTA,2022-12-11 00:00:00,115.78,-0.31837697668534753,Различные услуги - нигде более не классифицированные
#SEKTA,2022-12-12 00:00:00,107.81,-0.3494557176472063,Различные услуги - нигде более не классифицированные
#SEKTA,2022-12-14 00:00:00,49.22,-0.5779254081058394,Различные услуги - нигде более не классифицированные
#SEKTA,2022-12-15 00:00:00,46.88,-0.5870501576479661,Различные услуги - нигде более не классифицированные
#SEKTA,2022-12-16 00:00:00,61.88,-0.5285581734035644,Различные услуги - нигде более не классифицированные
#SEKTA,2022-12-18 00:00:00,52.5,-0.5651351608843969,Различные услуги - нигде более не классифицированные
#SEKTA,2022-12-19 00:00:00,118.34,-0.3083943447076363,Различные услуги - нигде более не классифицированные
#SEKTA,2022-12-20 00:00:00,50.16,-0.5742599104265236,Различные услуги - нигде более не классифицированные
#SEKTA,2022-12-21 00:00:00,28.13,-0.6601651379534682,Различные услуги - нигде более не классифицированные
#SEKTA,2022-12-22 00:00:00,63.28,-0.5230989215407535,Различные услуги - нигде более не классифицированные
#SEKTA,2022-12-23 00:00:00,159.38,-0.14836027581495326,Различные услуги - нигде более не классифицированные
#SEKTA,2022-12-24 00:00:00,25.78,-0.6693288821517578,Различные услуги - нигде более не классифицированные
#SEKTA,2022-12-25 00:00:00,205.78,0.0325749287810627,Различные услуги - нигде более не классифицированные
#SEKTA,2022-12-26 00:00:00,84.84,-0.4390264428534668,Различные услуги - нигде более не классифицированные
#SEKTA,2022-12-29 00:00:00,60.94,-0.5322236710828802,Различные услуги - нигде более не классифицированные
#SEKTA,2022-12-31 00:00:00,128.91,-0.2671769931434146,Различные услуги - нигде более не классифицированные
